date,ticket_id,branch,technician,customer,call_type,priority,duration_hours,status,notes
2026-05-15,SVC-1041,Tampa,Luis Garcia,Green Valley HVAC,Preventive Maintenance,Normal,2.5,Completed,Annual PM completed ahead of summer season
2026-05-15,SVC-1042,Tampa,Luis Garcia,Sunrise Properties,Emergency Repair,High,4.0,Completed,Compressor failure - parts on hand
2026-05-15,SVC-1043,Tampa,Ana Cruz,Westshore Marina,Inspection,Normal,1.5,Completed,
2026-05-15,SVC-1044,Tampa,Ana Cruz,Harbor View Condo,Warranty Callback,Normal,2.0,Completed,Follow-up on last week repair
2026-05-15,SVC-1045,Orlando,Raj Nair,UCF Research Park,Emergency Repair,High,5.5,Completed,Chiller unit down - critical facility
2026-05-15,SVC-1046,Orlando,Raj Nair,Orange County Schools,Preventive Maintenance,Normal,3.0,Completed,Seasonal PM x3 units
2026-05-15,SVC-1047,Orlando,Tanya Brooks,Lakewood Apartments,Inspection,Normal,1.0,Completed,
2026-05-15,SVC-1048,Orlando,Tanya Brooks,MetroWest Business Park,Emergency Repair,High,3.5,In Progress,Waiting on parts - ETA tomorrow
2026-05-15,SVC-1049,Miami,Marco Diaz,Brickell Financial Ctr,Preventive Maintenance,Normal,4.0,Completed,Full PM completed - 6 units
2026-05-15,SVC-1050,Miami,Marco Diaz,Coral Gables Estates,Emergency Repair,High,2.5,Completed,A/C down during heat advisory
2026-05-15,SVC-1051,Miami,Elena Vega,Port of Miami Auth,Inspection,Normal,3.0,Completed,Annual dock facility inspection
2026-05-15,SVC-1052,Miami,Elena Vega,South Beach Condos,Warranty Callback,Normal,1.5,Completed,
2026-05-14,SVC-1035,Tampa,Luis Garcia,Suncoast Medical Ctr,Emergency Repair,Critical,6.0,Completed,OR suite A/C failure - resolved same day
2026-05-14,SVC-1036,Tampa,Ana Cruz,Downtown Realty Group,Inspection,Normal,2.0,Completed,
2026-05-14,SVC-1037,Orlando,Raj Nair,UCF Research Park,Preventive Maintenance,Normal,2.5,Completed,
2026-05-14,SVC-1038,Orlando,Tanya Brooks,SunState Industrial,Emergency Repair,High,4.5,Completed,
2026-05-14,SVC-1039,Miami,Marco Diaz,Wynwood Art District,Inspection,Normal,2.0,Completed,
2026-05-14,SVC-1040,Miami,Elena Vega,Doral Corporate Ctr,Preventive Maintenance,Normal,3.5,Completed,
